datetime,t2m
2018-01-10,279.02814
2018-01-10,278.38705
2018-01-10,278.22147
2018-01-10,277.9305
2018-01-10,278.10397
2018-01-10,277.96045
2018-01-10,277.6695
2018-01-11,277.50546
2018-01-11,277.18216
2018-01-11,276.97952
2018-01-11,276.86203
2018-01-11,276.92352
2018-01-11,277.1727
2018-01-11,277.2555
2018-01-11,277.6356
2018-01-11,277.81775
2018-01-11,277.94073
2018-01-11,278.10162
2018-01-11,278.30505
2018-01-11,278.48328
2018-01-11,278.70248
2018-01-11,278.626
2018-01-11,278.54556
2018-01-11,278.38077
2018-01-11,278.29874
2018-01-11,278.2254
2018-01-11,278.42886
2018-01-11,278.42966
2018-01-11,278.3839
2018-01-11,278.38312
2018-01-11,278.35947
2018-01-12,278.2341
2018-01-12,278.24512
2018-01-12,278.24118
2018-01-12,278.21832
2018-01-12,278.1915
2018-01-12,278.1781
2018-01-12,278.1907
2018-01-12,278.0409
2018-01-12,278.40363
2018-01-12,279.01474
2018-01-12,279.75598
2018-01-12,280.37024
2018-01-12,280.93643
2018-01-12,280.96716
2018-01-12,280.856
2018-01-12,280.3458
2018-01-12,279.56042
2018-01-12,279.30414
2018-01-12,279.17877
2018-01-12,278.99582
2018-01-12,278.93747
2018-01-12,278.80106
2018-01-12,278.58972
2018-01-12,278.37366
2018-01-13,278.0133
2018-01-13,277.76334
2018-01-13,277.50153
2018-01-13,277.3304
2018-01-13,276.74927
2018-01-13,276.452
2018-01-13,276.09872
2018-01-13,275.96545
2018-01-13,276.6381
2018-01-13,277.0789
2018-01-13,277.66162
2018-01-13,278.13315
2018-01-13,278.71982
2018-01-13,279.06442
2018-01-13,278.90515
2018-01-13,278.39258
2018-01-13,277.59537
2018-01-13,276.892
2018-01-13,276.22882
2018-01-13,275.39218
2018-01-13,274.65253
2018-01-13,274.0769
2018-01-13,273.7047
2018-01-13,273.4295
2018-01-14,273.13852
2018-01-14,272.82074
2018-01-14,272.55817
2018-01-14,272.30978
2018-01-14,272.13394
2018-01-14,271.9092
2018-01-14,271.7231
2018-01-14,271.97702
2018-01-14,272.37366
2018-01-14,272.99817
2018-01-14,273.97754
2018-01-14,274.6817
2018-01-14,275.06888
2018-01-14,275.3646
2018-01-14,275.35907
2018-01-14,274.87332
2018-01-14,274.1605
2018-01-14,273.4918
2018-01-14,273.16614
2018-01-14,271.9857
2018-01-14,271.5575
2018-01-14,271.10803
2018-01-14,270.87778
2018-01-14,270.4701
2018-01-15,270.1752
2018-01-15,270.03247
2018-01-15,269.9962
2018-01-15,270.04587
2018-01-15,270.11526
2018-01-15,270.11368
2018-01-15,270.17755
2018-01-15,270.78317
2018-01-15,271.08124
2018-01-15,271.56775
2018-01-15,271.98648
2018-01-15,272.41544
2018-01-15,272.53845
2018-01-15,272.56683
2018-01-15,272.66934
2018-01-15,272.54556
2018-01-15,272.41544
2018-01-15,272.28848
2018-01-15,272.15048
2018-01-15,271.4684
2018-01-15,271.40848
2018-01-15,271.3588
2018-01-15,271.2886
2018-01-15,271.0071
2018-01-16,270.6775
2018-01-16,270.40466
2018-01-16,270.15784
2018-01-16,270.12158
2018-01-16,270.32028
2018-01-16,270.57263
2018-01-16,270.8368
2018-01-16,271.52203
2018-01-16,272.39258
2018-01-16,273.98306
2018-01-16,276.1484
2018-01-16,277.70654
2018-01-16,278.95877
2018-01-16,279.87427
2018-01-16,280.63913
2018-01-16,280.09348
2018-01-16,279.09753
2018-01-16,279.26077
2018-01-16,278.99423
2018-01-16,279.1614
2018-01-16,279.15195
2018-01-16,278.2814
2018-01-16,278.24985
2018-01-16,278.4115
2018-01-17,277.90762
2018-01-17,277.71127
2018-01-17,277.16483
2018-01-17,276.88806
2018-01-17,276.55054
2018-01-17,276.89355
2018-01-17,276.95667
2018-01-17,277.10568
2018-01-17,276.85098
2018-01-17,276.5821
2018-01-17,276.63098
2018-01-17,277.0497
2018-01-17,277.45816
2018-01-17,278.12448
2018-01-17,278.57553
2018-01-17,278.6804
2018-01-17,278.18442
2018-01-17,277.87137
2018-01-17,277.4345
2018-01-17,276.64832
2018-01-17,276.54504
2018-01-17,276.35815
2018-01-17,276.11765
2018-01-17,275.62558
2018-01-18,275.0066
2018-01-18,274.5871
2018-01-18,274.49405
2018-01-18,274.3324
2018-01-18,274.27246
2018-01-18,274.21805
2018-01-18,274.01697
2018-01-18,273.79776
2018-01-18,274.86465
2018-01-18,276.93616
2018-01-18,278.81525
2018-01-18,280.21252
2018-01-18,281.02475
2018-01-18,281.38745
2018-01-18,281.07364
2018-01-18,279.72522
2018-01-18,278.36658
2018-01-18,277.76334
2018-01-18,277.2839
2018-01-18,277.0205
2018-01-18,277.08438
2018-01-18,277.30283
2018-01-18,277.52362
2018-01-18,277.5993
2018-01-19,277.4842
2018-01-19,277.6671
2018-01-19,277.37775
2018-01-19,276.4867
2018-01-19,276.03406
2018-01-19,275.86057
2018-01-19,276.2517
2018-01-19,276.9732
2018-01-19,277.30124
2018-01-19,277.70102
2018-01-19,278.23093
2018-01-19,278.87833
2018-01-19,279.06677
2018-01-19,279.22293
2018-01-19,278.96744
2018-01-19,278.93433
2018-01-19,278.89804
2018-01-19,278.6544
2018-01-19,278.34686
2018-01-19,277.55594
2018-01-19,277.13724
2018-01-19,276.81708
2018-01-19,276.41177
2018-01-19,276.0924
2018-01-20,275.74387
2018-01-20,275.3993
2018-01-20,275.09253
2018-01-20,274.78973
2018-01-20,274.2488
2018-01-20,273.7599
2018-01-20,273.21658
2018-01-20,273.68735
2018-01-20,274.04773
2018-01-20,274.6139
2018-01-20,275.5223
2018-01-20,276.78003
2018-01-20,278.12762
2018-01-20,278.73325
2018-01-20,278.80026
2018-01-20,278.20886
2018-01-20,276.96848
2018-01-20,275.7628
2018-01-20,274.91275
2018-01-20,274.81183
2018-01-20,274.58945
2018-01-20,274.67065
2018-01-20,274.80865
2018-01-20,274.67776
2018-01-21,274.6147
2018-01-21,274.45697
2018-01-21,274.54843
2018-01-21,274.60284
2018-01-21,274.66592
2018-01-21,274.77475
2018-01-21,274.75504
2018-01-21,274.56738
2018-01-21,274.62573
2018-01-21,274.74323
2018-01-21,274.85834
2018-01-21,275.3646
2018-01-21,276.0451
2018-01-21,276.84467
2018-01-21,277.76413
2018-01-21,277.43057
2018-01-21,276.76108
2018-01-21,276.09082
2018-01-21,275.82745
2018-01-21,275.68317
2018-01-21,275.54358
2018-01-21,275.57828
2018-01-21,275.56094
2018-01-21,275.20767
2018-01-22,274.48773
2018-01-22,273.9326
2018-01-22,273.03918
2018-01-22,272.46432
2018-01-22,272.07162
2018-01-22,271.83035
2018-01-22,271.64267
2018-01-22,271.75305
2018-01-22,273.0029
2018-01-22,274.2614
2018-01-22,275.36853
2018-01-22,276.18466
2018-01-22,276.61758
2018-01-22,276.78317
2018-01-22,276.76898
2018-01-22,276.39047
2018-01-22,275.04364
2018-01-22,273.01
2018-01-22,272.2609
2018-01-22,273.327
2018-01-22,273.84744
2018-01-22,273.547
2018-01-22,273.08255
2018-01-22,273.48077
2018-01-23,273.23474
2018-01-23,272.8878
2018-01-23,272.39886
2018-01-23,272.2743
2018-01-23,271.71127
2018-01-23,272.43988
2018-01-23,272.73953
2018-01-23,272.97214
2018-01-23,273.89633
2018-01-23,274.72745
2018-01-23,275.8377
2018-01-23,277.32883
2018-01-23,278.09137
2018-01-23,278.27747
2018-01-23,278.06848
2018-01-23,277.7168
2018-01-23,277.1727
2018-01-23,276.5482
2018-01-23,276.04352
2018-01-23,274.62415
2018-01-23,275.11145
2018-01-23,274.76923
2018-01-23,274.52795
2018-01-23,274.31897
