datetime,t2m
2018-01-01,5.07025625
2018-01-02,5.146515000000022
2018-01-03,4.16244875000001
2018-01-04,5.181733333333398
2018-01-05,7.458652500000028
2018-01-06,8.554394583333362
2018-01-07,7.848878750000097
2018-01-08,6.548049999999989
2018-01-09,6.8463433333334365
2018-01-10,5.632484583333394
2018-01-11,4.805370000000039
2018-01-12,5.930456666666657
2018-01-13,3.6183229166667275
2018-01-14,-0.22979333333330487
2018-01-15,-1.8084887499999809
2018-01-16,2.475757500000043
2018-01-17,4.013149166666665
2018-01-18,3.879561666666689
2018-01-19,4.448000000000036
2018-01-20,2.3489325000000463
2018-01-21,2.3048079166666753
2018-01-22,0.7749379166667154
2018-01-23,1.7549633333333645
2018-01-24,2.343969583333376
2018-01-25,1.5567795833333093
2018-01-26,2.6498587499999644
2018-01-27,2.5544441666667694
2018-01-28,3.884153333333302
2018-01-29,4.037200416666678
2018-01-30,5.618420416666652
2018-01-31,5.191397499999994
2018-02-01,8.450405416666683
2018-02-02,7.993644166666741
2018-02-03,1.3821504166666045
2018-02-04,0.7688579166666045
2018-02-05,0.5672866666666323
2018-02-06,1.3978554166666868
2018-02-07,6.0973970833333055
2018-02-08,2.749906666666618
2018-02-09,2.9753641666667363
2018-02-10,1.8077629166666043
2018-02-11,2.420394999999985
2018-02-12,1.444276666666724
2018-02-13,1.5450137500000665
2018-02-14,1.616476250000062
2018-02-15,1.34613916666666
2018-02-16,2.6971741666666844
2018-02-17,2.7715941666667163
2018-02-18,2.8883270833333654
2018-02-19,1.3798841666666704
2018-02-20,1.199039166666637
2018-02-21,1.3641745833333516
2018-02-22,1.525468749999959
2018-02-23,2.524053750000064
2018-02-24,-0.22756083333337074
2018-02-25,-3.617992916666651
2018-02-26,-4.845160833333239
2018-02-27,-7.994695416666616
2018-02-28,-8.505111250000027
2018-03-01,-9.80702208333338
2018-03-02,-2.1526879166666504
2018-03-03,-1.1759462499999813
2018-03-04,-1.8872429166666507
2018-03-05,-1.4911658333333548
2018-03-06,2.216689166666754
2018-03-07,4.31470041666671
2018-03-08,2.7755612500000097
2018-03-09,6.7028958333334
2018-03-10,9.263129166666715
2018-03-11,12.461516666666682
2018-03-12,12.527230833333363
2018-03-13,9.764509166666699
2018-03-14,7.880814583333347
2018-03-15,9.019465000000025
2018-03-16,9.955299166666748
2018-03-17,6.780697916666611
2018-03-18,1.3177541666666457
2018-03-19,-1.093839166666669
2018-03-20,0.3440995833333318
2018-03-21,-0.3328612500000645
2018-03-22,0.6481183333333433
2018-03-23,-0.15347041666660743
2018-03-24,1.0219479166666474
2018-03-25,3.342527083333266
2018-03-26,3.979044166666654
2018-03-27,6.0773191666667685
2018-03-28,7.5982566666666
2018-03-29,8.602625833333377
2018-03-30,12.795596250000074
2018-03-31,14.474696249999965
2018-04-01,10.433747916666618
2018-04-02,10.429442499999936
2018-04-03,12.948181666666699
2018-04-04,12.913548333333495
2018-04-05,12.972096250000106
2018-04-06,11.47028750000004
2018-04-07,10.91620666666671
2018-04-08,15.24644916666665
2018-04-09,16.70666749999998
2018-04-10,15.408395000000098
2018-04-11,15.614271666666696
2018-04-12,17.4019591666667
2018-04-13,16.55572541666669
2018-04-14,16.90409625000001
2018-04-15,18.579055416666677
2018-04-16,18.175131250000106
2018-04-17,15.21552708333337
2018-04-18,16.728576250000003
2018-04-19,17.067318750000027
2018-04-20,16.525830416666736
2018-04-21,15.883030833333294
2018-04-22,17.917633749999993
2018-04-23,19.499546250000037
2018-04-24,18.79012583333332
2018-04-25,20.093942500000082
2018-04-26,18.594957499999907
2018-04-27,16.59193291666662
2018-04-28,19.908076666666602
2018-04-29,22.196553333333384
2018-04-30,20.79502000000008
2018-05-01,20.37407625000003
2018-05-02,21.72639250000003
2018-05-03,22.142404583333303
2018-05-04,22.755299583333397
2018-05-05,21.40413874999996
2018-05-06,21.08803000000006
2018-05-07,20.000536249999982
2018-05-08,17.930152499999963
2018-05-09,19.53269541666674
2018-05-10,20.233682083333406
2018-05-11,20.870462500000087
2018-05-12,21.76262833333334
2018-05-13,20.188008749999995
2018-05-14,17.31489458333334
2018-05-15,17.861382083333353
2018-05-16,16.1718075
2018-05-17,17.16299958333326
2018-05-18,17.764522916666692
2018-05-19,18.232261250000022
2018-05-20,19.10836458333341
2018-05-21,19.534340833333317
2018-05-22,20.802150416666677
2018-05-23,21.23788875000014
2018-05-24,21.872694583333328
2018-05-25,20.342133750000016
2018-05-26,20.866677916666788
2018-05-27,22.889155416666654
2018-05-28,23.941827500000045
2018-05-29,23.75303958333342
2018-05-30,23.57617750000003
2018-05-31,23.9715291666667
2018-06-01,24.6763233333333
2018-06-02,23.809288333333427
2018-06-03,24.214398333333406
2018-06-04,24.12835208333337
2018-06-05,24.941499583333382
2018-06-06,24.04854333333327
2018-06-07,24.01069250000012
2018-06-08,26.051897499999995
2018-06-09,21.977078749999976
2018-06-10,22.907065833333434
2018-06-11,25.37375458333338
2018-06-12,26.40983083333333
2018-06-13,21.665833333333353
2018-06-14,19.28194124999999
2018-06-15,18.448287916666743
2018-06-16,20.383039999999937
2018-06-17,21.72859416666671
2018-06-18,21.956410833333337
2018-06-19,22.63988333333333
2018-06-20,24.14563208333334
2018-06-21,25.818722500000035
2018-06-22,17.749084166666705
2018-06-23,15.855235416666687
2018-06-24,17.186065833333316
2018-06-25,18.31591250000008
2018-06-26,18.886685416666694
2018-06-27,17.523626250000063
2018-06-28,18.89358750000008
2018-06-29,19.814369166666722
2018-06-30,21.59377625000002
2018-07-01,18.165294583333377
