10_neurona,20_neurona,50_neurona
1.736689648,1.55956981,1.97061359
1.512562066,1.605749127,1.357697184
1.690735712,2.002064243,1.160237527
1.183326164,1.504568372,0.724960605
1.028063855,1.673542135,1.545730153
1.658751753,1.982738432,1.384986403
1.546407532,1.726374232,2.964267707
0.978854135,1.622461285,1.143810277
2.356067279,1.972643245,1.239047475
1.44569442,1.567292903,1.288764392
