readable_time,time,station_id,air_temp,air_moisture,global_radiation,leaf_temp,leaf_wetness,rainfall,wind_speed
2019-12-19 15:00:00,1576766666666.6667,9.0,13.666666666666666,72.43333333333334,53.449999999999996,14.35,0.0,0.0,143.6
2019-12-19 16:00:00,1576770000000.0,9.0,10.083333333333334,84.7,15.883333333333333,10.183333333333335,0.0,0.0,143.53333333333333
2019-12-19 17:00:00,1576770000000.0,9.0,7.983333333333334,91.13333333333334,0.9666666666666668,7.733333333333333,83.33333333333333,0.0,142.9333333333333
2019-12-19 18:00:00,1576778333333.3333,9.0,6.883333333333333,94.68333333333332,0.4666666666666666,6.616666666666667,66.66666666666667,0.0,142.9
2019-12-19 19:00:00,1576780000000.0,9.0,5.6499999999999995,96.89999999999999,0.45,5.233333333333333,100.0,0.0,142.9
2019-12-19 20:00:00,1576781666666.6667,9.0,4.516666666666667,98.58333333333333,0.48333333333333334,4.1499999999999995,100.0,0.0,142.9
2019-12-19 21:00:00,1576790000000.0,9.0,3.6500000000000004,99.53333333333335,0.48333333333333334,3.4499999999999997,100.0,0.0,142.9
2019-12-19 22:00:00,1576790000000.0,9.0,3.433333333333333,100.0,0.5,3.133333333333333,100.0,0.0,142.86666666666667
2019-12-19 23:00:00,1576793333333.3333,9.0,2.8499999999999996,100.0,0.48333333333333334,2.6666666666666665,100.0,0.0,46.9
2019-12-20 00:00:00,1576800000000.0,9.0,3.2399999999999998,100.0,0.43999999999999995,3.38,100.0,0.0,97.6
2019-12-20 01:00:00,1576800000000.0,9.0,3.85,100.0,0.4333333333333333,3.816666666666667,100.0,0.0,131.4
2019-12-20 02:00:00,1576805000000.0,9.0,3.3666666666666667,100.0,0.4666666666666666,4.083333333333333,100.0,0.0,131.41666666666666
2019-12-20 03:00:00,1576810000000.0,9.0,2.1,100.0,0.4666666666666666,4.05,100.0,0.0,131.5
2019-12-20 04:00:00,1576810000000.0,9.0,1.7833333333333332,100.0,0.48333333333333334,3.8499999999999996,100.0,0.0,258.06666666666666
2019-12-20 05:00:00,1576818333333.3333,9.0,2.0,100.0,0.4166666666666667,3.8333333333333335,100.0,0.0,267.09999999999997
2019-12-20 06:00:00,1576820000000.0,9.0,1.45,100.0,0.45,3.3833333333333333,100.0,0.0,267.09999999999997
2019-12-20 07:00:00,1576820000000.0,9.0,2.4499999999999997,100.0,0.48333333333333334,3.566666666666667,100.0,0.0,267.43333333333334
2019-12-20 08:00:00,1576830000000.0,9.0,3.0500000000000003,100.0,6.566666666666666,4.3,100.0,0.0,212.64999999999998
2019-12-20 09:00:00,1576830000000.0,9.0,4.133333333333333,100.0,26.21666666666667,5.416666666666667,100.0,0.0,216.48333333333335
2019-12-20 10:00:00,1576831666666.6667,9.0,5.583333333333333,100.0,63.449999999999996,6.45,100.0,0.0,240.76666666666665
2019-12-20 11:00:00,1576840000000.0,9.0,8.083333333333334,100.0,229.55000000000004,9.15,100.0,0.0,232.01666666666668
2019-12-20 12:00:00,1576840000000.0,9.0,12.633333333333333,100.0,341.68333333333334,13.583333333333334,100.0,0.0,231.93333333333337
2019-12-20 13:00:00,1576845000000.0,9.0,14.516666666666666,100.0,225.43333333333337,14.333333333333334,100.0,0.0,202.66666666666666
2019-12-20 14:00:00,1576850000000.0,9.0,14.6,100.0,110.11666666666667,16.616666666666667,16.666666666666668,0.0,193.83333333333334
2019-12-20 15:00:00,1576850000000.0,9.0,16.283333333333335,100.0,76.2,14.6,33.333333333333336,0.0,206.93333333333337
2019-12-20 16:00:00,1576856666666.6667,9.0,15.033333333333331,100.0,23.433333333333334,12.216666666666669,100.0,0.0,204.88333333333333
2019-12-20 17:00:00,1576860000000.0,9.0,10.500000000000002,100.0,1.2333333333333334,9.233333333333333,100.0,0.0,207.08333333333334
2019-12-20 18:00:00,1576860000000.0,9.0,6.833333333333332,100.0,0.48333333333333334,8.883333333333335,100.0,0.0,210.25
2019-12-20 19:00:00,1576868333333.3333,9.0,5.949999999999999,100.0,0.4666666666666666,7.616666666666666,100.0,0.0,203.70000000000002
2019-12-20 20:00:00,1576870000000.0,9.0,5.633333333333333,100.0,0.4666666666666666,8.4,100.0,0.0,190.11666666666665
2019-12-20 21:00:00,1576871666666.6667,9.0,5.433333333333334,100.0,0.4666666666666666,8.933333333333334,100.0,0.0,202.38333333333335
2019-12-20 22:00:00,1576880000000.0,9.0,5.2,100.0,0.4166666666666667,8.716666666666667,100.0,0.0,207.9666666666666
2019-12-20 23:00:00,1576880000000.0,9.0,4.933333333333333,100.0,0.43333333333333335,8.616666666666667,100.0,0.0,200.48333333333335
2019-12-21 00:00:00,1576883333333.3333,9.0,5.166666666666667,100.0,0.4333333333333333,9.133333333333333,100.0,0.0,199.45000000000002
