24h,48h,72h,120h
1.97061359,1.348967202,0.785022068,1.366370397
1.357697184,1.972535782,2.461894947,1.124156739
1.160237527,1.847589975,1.958949735,1.788179852
0.724960605,0.920297966,1.48693392,0.989129796
1.545730153,1.514314741,1.050408855,0.695620669
1.384986403,1.40712461,1.844244347,2.430460811
1.964267707,0.694366784,1.689252556,1.672823003
1.143810277,1.333015495,2.276101932,1.450748303
1.239047475,1.605181579,1.962328322,2.207685312
1.288764392,1.962889271,1.432045645,1.123906293
